function,ncalls,tottime_s,cumtime_s
flush (/usr/lib/python3.13/logging/__init__.py:1131),4,0.000009,0.000013
_format (/usr/lib/python3.13/logging/__init__.py:463),4,0.000007,0.000007
format (/usr/lib/python3.13/logging/__init__.py:470),4,0.000002,0.000009
current_thread (/usr/lib/python3.13/threading.py:1429),4,0.000003,0.000003
info (/usr/lib/python3.13/logging/__init__.py:1510),4,0.000011,0.000365
getLevelName (/usr/lib/python3.13/logging/__init__.py:129),4,0.000003,0.000004
getMessage (/usr/lib/python3.13/logging/__init__.py:391),4,0.000002,0.000002
format (/usr/lib/python3.13/logging/__init__.py:988),4,0.000004,0.000028
makeRecord (/usr/lib/python3.13/logging/__init__.py:1626),4,0.000009,0.000114
_is_internal_frame (/usr/lib/python3.13/logging/__init__.py:197),12,0.000011,0.000018
handle (/usr/lib/python3.13/logging/__init__.py:1667),4,0.000007,0.000187
usesTime (/usr/lib/python3.13/logging/__init__.py:455),4,0.000003,0.000005
name (/usr/lib/python3.13/threading.py:1096),4,0.000002,0.000002
<lambda> (/usr/lib/python3.13/logging/__init__.py:167),4,0.000008,0.000009
usesTime (/usr/lib/python3.13/logging/__init__.py:677),4,0.000002,0.000007
formatMessage (/usr/lib/python3.13/logging/__init__.py:683),4,0.000002,0.000011
on_finish (/papers/SPARS-Pub/SPARS/Simulator/JobsManager.py:12),1,0.000002,0.000060
emit (/usr/lib/python3.13/logging/__init__.py:1139),4,0.000022,0.000162
_get_sep (<frozen posixpath>:42),4,0.000001,0.000002
normcase (<frozen posixpath>:53),12,0.000005,0.000007
basename (<frozen posixpath>:166),4,0.000008,0.000013
_splitext (<frozen genericpath>:157),4,0.000005,0.000006
splitext (<frozen posixpath>:117),4,0.000006,0.000013
